Urchin_metamorphosis.csv,Block,Number,Jar,Start_time,Start_date,Type,Treated_species,Species_gen_code,Cor_type,Species_genetic_only,Species_genetic,Morpho_species,Genus,Species_code,Recorder,Date,Time_period,Time,Coralline_area,Meta_coralline,Meta_jar,Meta_undergoing,Free_swimming,Notes,Total_urchins,Swabbing
middle,I,6,I06,10:49:00 AM,2021-02-27,Untreated,no,BAT-urchinI06,Crustose Coralline,Crusticorallina painei,Crusticorallina painei,Crusticorallina sp2,Crusticorallina,Crust2,Brenton Twist,2021-02-28,24hrs,13:08,2.419,3,1,0,13,,17,
middle,I,6,I06,10:49:00 AM,2021-02-27,Untreated,no,BAT-urchinI06,Crustose Coralline,Crusticorallina painei,Crusticorallina painei,Crusticorallina sp2,Crusticorallina,Crust2,Stefanie Duff,2021-03-01,48hrs,14:50,2.419,2,2,0,8,,12,
top,E,3,E03,10:22:00 AM,2021-02-27,Untreated,no,BAT-urchinE03,Crustose Coralline,NA,,Crusticorallina sp2,Crusticorallina,Crust2,Tereno Johson,2021-02-28,24hrs,11:27,3.388,4,2,2,11,,19,
top,E,3,E03,10:22:00 AM,2021-02-27,Untreated,no,BAT-urchinE03,Crustose Coralline,NA,,Crusticorallina sp2,Crusticorallina,Crust2,Brenton Twist,2021-03-01,48hrs,12:04,3.388,1,6,2,3,Lots of green algae balls at the bottom hard to distinguish urchins,12,
middle,G,11,G11,10:35:00 AM,2021-02-27,Untreated,no,BAT-urchinG11,Crustose Coralline,Crusticorallina painei,Crusticorallina painei,Crusticorallina sp2,Crusticorallina,Crust2,Tereno Johson,2021-02-28,24hrs,12:40,3.156,5,0,0,15,,20,
middle,G,11,G11,10:35:00 AM,2021-02-27,Untreated,no,BAT-urchinG11,Crustose Coralline,Crusticorallina painei,Crusticorallina painei,Crusticorallina sp2,Crusticorallina,Crust2,Brenton Twist,2021-03-01,48hrs,14:15,3.156,4,0,1,12,Coralline found upside down,17,
middle,K,13,K13,11:00:00 AM,2021-02-27,Untreated,no,BAT-urchinK13,Crustose Coralline,NA,,Crusticorallina sp2,Crusticorallina,Crust2,Brenton Twist,2021-02-28,24hrs,13:51,2.098,6,0,2,11,,19,
middle,K,13,K13,11:00:00 AM,2021-02-27,Untreated,no,BAT-urchinK13,Crustose Coralline,NA,,Crusticorallina sp2,Crusticorallina,Crust2,Joel Filgate-McNabb,2021-03-01,48hrs,15:48,2.098,2,2,8,5,,17,
bottom,O,6,O06,11:22:00 AM,2021-02-27,Untreated,no,BAT-urchinO06,Crustose Coralline,NA,,Crusticorallina sp2,Crusticorallina,Crust2,Nathan Duifhuis,2021-02-28,24hrs,15:01,1.429,2,5,1,8,,16,
bottom,O,6,O06,11:22:00 AM,2021-02-27,Untreated,no,BAT-urchinO06,Crustose Coralline,NA,,Crusticorallina sp2,Crusticorallina,Crust2,Stefanie Duff,2021-03-01,48hrs,17:02,1.429,2,6,3,7,,18,
top,A,14,A14,9:40:00 AM,2021-02-27,Untreated,no,BAT-urchinA14,Fleshy Red Crust,Peyssonnelia spp,,Hildenbrandia ,Hildenbrandia ,Hild,Joel Filgate-McNabb,2021-02-28,24hrs,10:19,3.508,2,0,0,14,,16,
top,A,14,A14,9:40:00 AM,2021-02-27,Untreated,no,BAT-urchinA14,Fleshy Red Crust,Peyssonnelia spp,,Hildenbrandia ,Hildenbrandia ,Hild,Tereno Johson,2021-03-01,48hrs,10:02,3.508,0,2,2,14,,18,
top,C,6,C06,10:08:00 AM,2021-02-27,Untreated,no,BAT-urchinC06,Fleshy Red Crust,Hildenbrandia spp,,Hildenbrandia ,Hildenbrandia ,Hild,Nathan Duifhuis,2021-02-28,24hrs,10:52,2.75,5,2,2,8,,17,
